Estado;Observaciones;Equipo 1;Resultado;Equipo 2;Árbitros;Fecha;Hora;Lugar;Jornada;Grupo;Estado de la competición;Competición;Deporte
;;C.E.F.S. Granollers;-;*RETIRAT* F.S. Porqueres;;02/06/2018;19:00;;Jornada 26;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;C.e. Gadex;-;C.F.S. La Garriga;;02/06/2018;19:30;Pavelló esports c/ sol i padris -  59 08203 Sabadell;Jornada 26;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;*RETIRAT* C.C.A. Plaza Macael;-;A.E.F.S. Montgat;;02/06/2018;19:30;;Jornada 26;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;Olímpic Argentona;-;*RETIRAT* A.E.F.S. Montgat B;;02/06/2018;20:00;;Jornada 26;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;Teià Futbol Cinc femení;-;*RETIRAT COPA*F.S. Llinars Senior Femeni;;03/06/2018;09:00;;Jornada 6;"COPA FEMENINA GRUP ""A""";;COPA FEMENINA;Fútbol sala
;;F.S. Caldes De Malavella;-;Descansa;;03/06/2018;09:00;;Jornada 7;"COPA FEDERACIÓ GIRONA GRUP ""B""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;*RETIRAT COPA*C.E.P.S.;-;***RETIRAT COPA***F.S.R. Massoteres - Sant Guim de la Plana;;03/06/2018;15:00;;Jornada 7;"COPA FEDERACIÓ LLEIDA GRUP ""B""";;COPA LLEIDA;Fútbol sala
;;Futsal Dante Cadet;-;*RETIRAT* Betania F.S. Cadet;;03/06/2018;15:00;;Jornada 22;"Cadet ""B""";;08. Cadet;Fútbol sala
;;Descansa;-;Grup de Joves Can Tusell Cadet;;03/06/2018;17:00;;Jornada 22;"Cadet ""A""";;08. Cadet;Fútbol sala
;;Montsant Sala 5 Juvenil;-;Escola de Futsal Grèvol Juvenil;LAUREANO PILAR VILLALBA;03/06/2018;17:30;Institut Barcelona Congrés -  Carrer del Baró d'Esponellà -  Barcelona -  Espanya;Jornada 22;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;Futsal Maçanet;-;*RETIRAT COPA*Futsal Cassà;;03/06/2018;20:00;;Jornada 7;"COPA FEDERACIÓ GIRONA GRUP ""B""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;Sants Atletic F.S.;-;CFS Sagrada Familia;;03/06/2018;20:30;Complex Esportiu La Báscula -  Barcelona -  Espanya;Jornada 22;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;"F.S. Borges ""B""";-;C.E.F.S. Fonollosa;;08/06/2018;22:00;PAVELLO MUNICIPAL DE LES BORGES BLANQUES;Jornada 9;"COPA FEDERACIÓ LLEIDA GRUP ""A""";;COPA LLEIDA;Fútbol sala
;;C.E.S. Sabadell;-;F.S Union La Salut Badalona B;;09/06/2018;10:00;Poliesportiu Municipal La Bascula;Cuartos de final;"COPA FEDERACIÓ BARCELONA GRUP ""B""";;"COPA FEDERACIÓ BARCELONA GRUP ""B""";Futbolín
;;F.S. Llinars Infantil;-;"F.S. Esclop Infantil ""A""";;09/06/2018;10:00;;Jornada 9;"COPA INFANTIL GRUP ""B""";;COPA INFANTIL;Fútbol sala
;;C.F.S. La Garriga Benjamí;-;Escola de Futsal Grèvol Benjamí;JORDI GAITX PLA;09/06/2018;11:00;Poliesportiu Can Noguera;Jornada 7;COPA BENJAMÍ;;COPA BENJAMÍ;Fútbol sala
;;"*RETIRAT COPA*Escola Pia Santa Anna Mataró Infantil ""A""";-;"Escola de Futsal Grèvol Infantil ""B""";;09/06/2018;11:00;;Jornada 9;"COPA INFANTIL GRUP ""A""";;COPA INFANTIL;Fútbol sala
;;C.F.S. Alcalà Prat - Bar La Terraza Infantil;-;"F.S. Union Llagostense Mecman Infantil ""B""";;09/06/2018;11:00;;Jornada 9;"COPA INFANTIL GRUP ""A""";;COPA INFANTIL;Fútbol sala
